type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data;timestamp;sf;bw;config;sf_category;time_minutes;time_diff_seconds;time_diff_seconds_within_config;temperature
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:49:28;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 20.84}";2025-07-05 02:49:28;12;500;12_BW500_20B;MAX-SF12;489.8;17.0;17.0;20.84
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:49:44;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 23.06}";2025-07-05 02:49:44;12;500;12_BW500_20B;MAX-SF12;490.06666666666666;16.0;16.0;23.06
24;0000B827EB24A52C;20;6;-82;20;5;SF12BW500;2025-07-05 02:50:00;"{""RSSI"": -82, ""SNR"": 6, ""TC"": 26.02}";2025-07-05 02:50:00;12;500;12_BW500_20B;MAX-SF12;490.3333333333333;16.0;16.0;26.02
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:50:17;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 25.34}";2025-07-05 02:50:17;12;500;12_BW500_20B;MAX-SF12;490.6166666666667;17.0;17.0;25.34
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:50:33;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 25.76}";2025-07-05 02:50:33;12;500;12_BW500_20B;MAX-SF12;490.8833333333333;16.0;16.0;25.76
24;0000B827EB24A52C;20;5;-81;20;5;SF12BW500;2025-07-05 02:50:49;"{""RSSI"": -81, ""SNR"": 5, ""TC"": 24.77}";2025-07-05 02:50:49;12;500;12_BW500_20B;MAX-SF12;491.15;16.0;16.0;24.77
24;0000B827EB24A52C;20;5;-81;20;5;SF12BW500;2025-07-05 02:51:06;"{""RSSI"": -81, ""SNR"": 5, ""TC"": 26.31}";2025-07-05 02:51:06;12;500;12_BW500_20B;MAX-SF12;491.43333333333334;17.0;17.0;26.31
24;0000B827EB24A52C;20;6;-81;20;5;SF12BW500;2025-07-05 02:51:22;"{""RSSI"": -81, ""SNR"": 6, ""TC"": 26.23}";2025-07-05 02:51:22;12;500;12_BW500_20B;MAX-SF12;491.7;16.0;16.0;26.23
24;0000B827EB24A52C;20;6;-84;20;5;SF12BW500;2025-07-05 02:51:39;"{""RSSI"": -84, ""SNR"": 6, ""TC"": 21.95}";2025-07-05 02:51:39;12;500;12_BW500_20B;MAX-SF12;491.98333333333335;17.0;17.0;21.95
24;0000B827EB24A52C;20;6;-83;20;5;SF12BW500;2025-07-05 02:51:55;"{""RSSI"": -83, ""SNR"": 6, ""TC"": 23.95}";2025-07-05 02:51:55;12;500;12_BW500_20B;MAX-SF12;492.25;16.0;16.0;23.95
