type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:16:02;{"RSSI": -70, "SNR": 6, "TC": 27.19}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:16:18;{"RSSI": -70, "SNR": 6, "TC": 28.88}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:16:34;{"RSSI": -70, "SNR": 6, "TC": 21.26}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:16:50;{"RSSI": -70, "SNR": 6, "TC": 22.15}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:17:06;{"RSSI": -70, "SNR": 6, "TC": 24.15}
24;0000B827EB24A52C;20;5;-70;20;5;SF12BW500;2025-07-07 02:17:22;{"RSSI": -70, "SNR": 5, "TC": 24.19}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:17:38;{"RSSI": -70, "SNR": 6, "TC": 28.87}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:17:54;{"RSSI": -70, "SNR": 6, "TC": 27.59}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:18:10;{"RSSI": -70, "SNR": 6, "TC": 28.85}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:18:26;{"RSSI": -70, "SNR": 6, "TC": 21.57}
24;0000B827EB24A52C;20;6;-70;20;5;SF12BW500;2025-07-07 02:18:42;{"RSSI": -70, "SNR": 6, "TC": 26.71}
